"Healthcare Facility Name","Facility Code","Level","BEmONC / CEmONC","NCU / NICU","TA (Council)","District","Region","Country","Latitude","Longitude","Contact Name","Phone Number","Phone Number 2","Phone Number 3"
"Manolo Health Centre","MZ160833","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mpherembe","Mzimba North","Northern","Malawi","-11.2507717","33.4395522","Blessings Chipasula","993171273","888158535",""
"Matuli Health Centre","MZ160863","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.4851248","33.896117","Eliza Mmeto","881082110","",""
"Moyale Dispensary","MZ160986","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","Yes","TA Kabunduli","Mzimba North","Northern","Malawi","-11.4594467","34.0377219","Dr Pemba Mwenda","882037828","",""
"Mpherembe Health Centre","MZ161004","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mpherembe","Mzimba North","Northern","Malawi","-11.2881777","33.6147166","Tionge Munyenyembe","988473742","",""
"Mtwalo Health Centre","MZ161040","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Mtwalo","Mzimba North","Northern","Malawi","-11.3967064","33.7459868","Benson Chavinda","995048958","884134511",""
"Mzuzu Central Hospital","MZ161099","Level 4 (Central Hospitals)","CEmONC","Yes","TA Mtwalo","Mzimba North","Northern","Malawi","-11.4284917","33.99549","Monalisa Tembo","881446580","",""
"Mzuzu Urban Community Hospital","MZ161100","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Chindi","Mzimba North","Northern","Malawi","-11.4614033","34.0148959","Lyod Mgode","881600759","",""
"Njuyu Health Centre","MZ161187","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Kampingo Sibande","Mzimba North","Northern","Malawi","-11.4624718","33.6320891","Wisdom Kondowe","882965598","",""
"Nkhorongo Health Centre","MZ161200","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.39034","33.9850733","Tobias Kamanga","999689217","",""
"Padre Pio Health Centre","MZ161251","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Kampingo Sibande","Mzimba North","Northern","Malawi","-11.4998418","33.9430609","Trizza Raphael","993017727","","983345306"
"St John's Mission Hospital","MZ161366","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","Yes","TA Matuli","Mzimba North","Northern","Malawi","-11.4521506","34.0275346","Charles Nyasulu","993559485","",""
"Thunduwike Health Centre","MZ161425","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mpherembe","Mzimba North","Northern","Malawi","-11.1799835","33.578415","Alfred Nyirenda","990692428","",""
"Zolozolo Health Centre","MZ161819","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.4355302","34.0242167","Ernest Banda","884632978","",""
"Bulala Health Centre","511","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chindi","Mzimba South","Northern","Malawi","-11.6782116","33.4481731","Charels Nanganitani","888342571","884577260","888352751"
"Chikangawa Health Centre","503","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kampingo Sibande","Mzimba South","Northern","Malawi","-11.8443009","33.8020571","Luka Moyo","995124025","884409791",""
"Edingeni Health Centre","505","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA M'mbelwa","Mzimba South","Northern","Malawi","-12.0410383","33.3126107","Samuel Tsukani","999676997","",""
"Ehehleni Dispensary","506","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","STA Chiputula Nhlane","Mzimba South","Northern","Malawi","-12.2620593","33.5891907","Amina Banda","998479860","991378601","881645961"
"Embangweni Mission Hospital","507","Level 3 (CEmONC Facilities)","CEmONC","Yes","TA Mzukuzuku","Mzimba South","Northern","Malawi","-12.136093","33.4769993","Parfait Kileya","997163249","888576051","999609924"
"Emfeni Health Centre","504","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mabilabo","Mzimba South","Northern","Malawi","-12.5938587","33.6096819","Deus Kamwani","993274603","","882925338"
"Endindeni Health Centre","508","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chindi","Mzimba South","Northern","Malawi","-11.7582327","33.5563518","Mercy Mwambero","995195911","880572346","881868684"
"Engalaweni Health Centre","MZ16733","Level 3 (CEmONC Facilities)","BEmONC","Yes","TA M'mbelwa","Mzimba South","Northern","Malawi","-11.9084729","33.3657817","Engalaweni","993735315","",""
"Euthini Rural Hospital","502","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chindi","Mzimba South","Northern","Malawi","-11.4583572","33.4195074","Fyness Nthengwe","999453801","882688561","998262165"
"Hora Health Centre","533","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Mtwalo","Mzimba South","Northern","Malawi","-11.645102","33.65168","Joel Mgutha","987118811","883213201","881232541"
"Jenda Rural Hospital","510","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Chiputula Nhlani","Mzimba South","Northern","Malawi","-12.3521908","33.5473827","Simeon Mwale","995505514","881806259",""
"Kabuwa Health Centre","530","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Khosolo","Mzimba South","Northern","Malawi","-12.517","34.0740617","Patrick Mchenga","888431025","992793027","999603369"
"Kalikumbi Health Centre","DA0512","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA M'mbelwa","Mzimba South","Northern","Malawi","-12.2041939","33.33381","Annie Chavula","888550326","999420540","991512676"
"Kamteteka Health Centre","513","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA M'mbelwa","Mzimba South","Northern","Malawi","-11.8366414","33.3593627","Harold Malikiliki","999495190","994653939","994370019"
"Katete Community Hospital","514","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Levi Jere","Mzimba South","Northern","Malawi","-12.3458117","33.614365","Emmanuel Chikufenji","888909254","",""
"Lunjika Health Centre","516","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kampingo Sibande","Mzimba South","Northern","Malawi","-11.7145967","33.685705","Blessings Philip Nyondo","888893220","991997908","888024348"
"Luwawa Health Centre","517","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mzikubola","Mzimba South","Northern","Malawi","-12.1132183","33.71951","Mathews Banda","885414604","987808212","999610169"
"Mabiri Health Centre","519","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Mzukuzuku","Mzimba South","Northern","Malawi","-12.2463617","33.43010991","Patrick Mwafulira","997372812","998652763","995855972"
"Madede Health Centre","520","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chindi","Mzimba South","Northern","Malawi","-11.5390026","33.2946467","Arnold M'modzi","882734864","894592767","888163899"
"Manyamula Health Centre","521","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA M'belwa","Mzimba South","Northern","Malawi","-11.9401451","33.4394389","Brian Chavula","995963145","884881063","996190425"
"Mbalachanda Health Centre","522","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Chindi","Mzimba South","Northern","Malawi","-11.3574565","33.371183","Malango Mnthali","998304305","884792408","884380244"
"Mhalaunda Health Centre","523","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA M'mberwa","Mzimba South","Northern","Malawi","-12.0510931","33.4670935","Monica Banda","881198093","997911841","980230005"
"Msese Health Centre","525","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Khosolo","Mzimba South","Northern","Malawi","-12.3593007","33.7400993","Rhomban Nyirenda","888875790","993594939",""
"Mzalangwe Health Centre","527","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chindi","Mzimba South","Northern","Malawi","-11.6121229","33.565096","William Kamwera","888205889","881567688","888534319"
"Ntchawaka Health Post","51820","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Mabilabo","Mzimba South","Northern","Malawi","-12.498725","33.5725883","Limbani Gondwe","996810124","",""
"Raiply Clinic","531","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Kampingo","Mzimba South","Northern","Malawi","-11.9163825","33.7559849","Dr Mercy","887572303","992443336","999123334"
"Vibangalala Dispensary","532","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Mzukuzuku","Mzimba South","Northern","Malawi","-12.234107","33.486444","Wisdom Nyirenda","994801603","884199133",""
"Bolero Rural Hospital","RU140107","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chikulamayembe","Rumphi","Northern","Malawi","-10.9786037","33.7434623","Wisdom Nymbiri","888362869","884707862",""
"Chisimuka Health Centre","RU140271","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Katumbi","Rumphi","Northern","Malawi","-10.7691133","33.5573567","Adriano Luwe","881837920","994556269",""
"Chitimba Health Centre","RU140292","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Chiwiriwiri","Rumphi","Northern","Malawi","-10.5980588","34.1702039","Wanozga Mbale","999115277","884092073","888139504"
"David Gordon Memorial Mission Hospital","RU140702","Level 3 (CEmONC Facilities)","CEmONC","Yes","TA Mwalweni","Rumphi","Northern","Malawi","-10.6036439","34.110894","Dennis Chiumia","993045126","",""
"Jalawe Health Centre","RU140470","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Njikula","Rumphi","Northern","Malawi","-10.7298567","34.16164","Kennedy Nyirenda","981817060","","881367306"
"Kanyerere Health Centre","RU141692","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chikulamayembe","Rumphi","Northern","Malawi","-10.9475386","33.7592024","Kanyerere","992658113","",""
"Katowo Rural Hospital","RU140600","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Katumbi","Rumphi","Northern","Malawi","-10.8127146","33.5223755","Atanazio Liphava","994394018","888462152","994596992"
"Lura Health Centre","RU140731","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kachulu","Rumphi","Northern","Malawi","-10.726409","34.0440884","Evan Kusinyala","997209373","","888185253"
"Luwuchi Health Centre","RU140742","Level 3 (CEmONC Facilities)","BEmONC","Yes","STA Chimphamba","Rumphi","Northern","Malawi","-10.68346","34.1933483","Lucia Gondwe","882977596","993899536",""
"Mhuju Rural Hospital","RU140914","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mwahenga","Rumphi","Northern","Malawi","-10.8668828","33.9975547","Innocent Kuzobwe","991167901","885862253",""
"Mlowe Health Centre","RU140972","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mwamlowe","Rumphi","Northern","Malawi","-10.764342","34.1948526","Zainab Zimba","886978647","887471077",""
"Mphompha Health Centre","RU 141007","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mwankhunikira","Rumphi","Northern","Malawi","-11.0065612","34.0732513","Ligting Kahumbe","894581576","",""
"Mzokoto Health Centre","RU141097","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mwankhunikira","Rumphi","Northern","Malawi","-10.9078374","34.0271941","Mzokoto","993368828","993620540",""
"Ng'onga Health Centre","RU141165","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chisovya","Rumphi","Northern","Malawi","-10.9390144","33.9434029","Maganizo Zimba","995387980","","997777513"
"Nthenje Health Centre","RU141229","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mwankhunikira","Rumphi","Northern","Malawi","-10.9179004","33.9877635","Goodlack Mgamba","994364289","991645473","884033994"
"Rumphi District Hospital","RU141302","Level 3 (CEmONC Facilities)","CEmONC","Yes","TA Chikulamayembe","Rumphi","Northern","Malawi","-11.020034","33.8541789","Willard Gandali","991118559","",""
"St Patricks Health Centre","RU 141377","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Chikulamayembe","Rumphi","Northern","Malawi","-11.023718","33.8734972","Lissy Joze","980387496","",""
"Tcharo Health Centre","RU141395","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chapinduka","Rumphi","Northern","Malawi","-10.9622567","34.2229383","Samson Gondwe","991521529","980735733",""
"Zunga Health Centre","RU141514","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mwamlowe","Rumphi","Northern","Malawi","-10.8462013","34.2121489","Christopher Kachiwanda","995701697","",""
"Balaka District Hospital","3601","Level 3 (CEmONC Facilities)","CEmONC","Yes","STA Kapalamula","Balaka","Southern","Malawi","-14.9845159","34.9502438","Dr Aisha Katita","880667551","",""
"Chimatiro Health Centre","3626","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","STA Chimatiro","Balaka","Southern","Malawi","-14.962586","35.0229351","Ronald Kalimacheuka","993116229","",""
"Chiyendausiku Health Centre","3612","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Nsamala","Balaka","Southern","Malawi","-15.0187537","35.0770396","Precious Khumulike","991422038","",""
"Comfort Community Hospital","3615","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Nsamala","Balaka","Southern","Malawi","-15.0032023","34.9524845","Gerald Kaitano","882335954","",""
"Dziwe Dispensary","3627","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Mpilisi","Balaka","Southern","Malawi","-15.1022733","35.1405633","Omega Banda","998341743","",""
"Kalembo Health Centre","3603","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Kalembo","Balaka","Southern","Malawi","-14.8427462","35.1706622","Mercy Lyton","996211793","888624659",""
"Kankao Health Centre","3604","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chanthunya","Balaka","Southern","Malawi","-15.0545117","34.9222702","Barbara Bhima","995624297","",""
"Khwisa Health Centre","BK171935","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Matola","Balaka","Southern","Malawi","-14.8962873","34.9469159","Dr Mavuto Bauleni","991105657","887433809",""
"Kwitanda Health Centre","3613","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Nsamala","Balaka","Southern","Malawi","-15.0649233","35.0930617","Chikumbutso","881997355","",""
"Mbera Health Centre","3605","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Mbera","Balaka","Southern","Malawi","-14.9106605","35.0535347","Midred Alabi","885401367","884228383",""
"Mwima Health Centre","3617","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Amidu","Balaka","Southern","Malawi","-14.9298313","35.1847951","Davie Mandala","990921739","",""
"Namanolo Dispensary","3611","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Amidu","Balaka","Southern","Malawi","-15.0006028","35.1902465","Patricia Tembo","884606028","",""
"Nandumbo Health Centre","3616","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kalembo","Balaka","Southern","Malawi","-14.8516627","35.2252371","Emmanuel Chasesa","888149911","999149915",""
"Phalula Health Centre","3606","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Phalula","Balaka","Southern","Malawi","-15.2255415","34.8932123","Benadetta Kwakwala","995825531","",""
"Phimbi Health Centre","3607","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Phimbi","Balaka","Southern","Malawi","-15.25083","35.107365","Thokozani Kunungu","884447557","995499993",""
"Ulongwe Health Centre","3608","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Kalembo","Balaka","Southern","Malawi","-14.8621778","35.1768345","Cecilia Lwesha","882637425","",""
"Utale 1 Health Centre","3609","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","Yes","TA Nkaya","Balaka","Southern","Malawi","-15.1775817","35.0641817","Raph Kalirani","991226555","899577094",""
"Utale 2 Health Centre","3610","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Nkaya","Balaka","Southern","Malawi","-15.1701533","35.0725083","Stephano Mphepo","995443870","",""
"Ameca Health Centre","BT5077","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Machinjiri","Blantyre","Southern","Malawi","-15.7032249","35.0443055","Kelita Mwangalika","888526528","",""
"Bangwe Community Hospital","BT240041","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Machinjiri","Blantyre","Southern","Malawi","-15.8238016","35.0804111","Dr Moses Chanza","997471591","",""
"Chabvala Health Centre","BT240136","Level 3 (CEmONC Facilities)","BEmONC","No","TA Kunthembwe","Blantyre","Southern","Malawi","-15.8337283","34.8344417","Jonathan Salamba","888522026","889999151","884522777"
"Chikowa Community Hospital","BT2903","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kunthembwe","Blantyre","Southern","Malawi","-15.6713742","34.8711084","Davie Chithila","888700039","997452014",""
"Chileka Community Hospital","BT24202","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kuntanja","Blantyre","Southern","Malawi","-15.68258","34.9707079","Chisomo Kapiseni","994709957","",""
"Chileka Sda Mission Hospital","BT240204","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Kuntaja","Blantyre","Southern","Malawi","-15.6598253","34.9289703","Patricia Banda","881249037","993621290","999247404"
"Chilomoni Community Hospital","BT240216","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Machinjiri","Blantyre","Southern","Malawi","-15.771478","34.9813533","Stevenmlangiza","993627533","",""
"Chimembe Health Centre","BT240227","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Kuntaja","Blantyre","Southern","Malawi","-15.777382","34.8853568","Fatsani Menasi","991003590","",""
"Chipande Health Centre","BT241917","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Machinjiiri","Blantyre","Southern","Malawi","-15.6682023","35.0940223","Alice Zinga","886855121","992081739","886855121"
"Chirimba Dispensary","BT240207","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Machinji","Blantyre","Southern","Malawi","-15.7462728","35.0229591","Tifana Kaliwo","888727034","994441903",""
"Dziwe Health Centre","BT2907","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Kuntaja","Blantyre","Southern","Malawi","-15.5588267","34.87757","Cephas Sabe","881960411","998371102",""
"Gateway Clinic","BT2945","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Kapeni","Blantyre","Southern","Malawi","-15.8047626","35.0180753","Comfort Chikapa","881874457","",""
"Kachere Dispensary","BT241521","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Machinjiri","Blantyre","Southern","Malawi","-15.787959","35.0886644","Mayamiko Donda","884128050","",""
"Kadidi Health Centre","BT240490","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","Yes","TA Kapeni","Blantyre","Southern","Malawi","-15.6199876","35.0074038","Liness Chikasema","893200053","887829082",""
"Khungulu Dispensary","BT241522","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Kuntaja","Blantyre","Southern","Malawi","-15.6448702","34.966967","Magret Nkhoma","990968664","881026956",""
"Lighthouse Health Centre","2978","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Chigaru","Blantyre","Southern","Malawi","-15.4022443","34.9383872","Slivester Menyani","881087293","995151247",""
"Limbe Community Hospital","BT2908","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Kapeni","Blantyre","Southern","Malawi","-15.8172983","35.0519399","Dorah Mwafuliwa","882707760","999429500",""
"Lirangwe Community Hospital","BT240698","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Lundu","Blantyre","Southern","Malawi","-15.529637","35.0298834","Ephraim Chinamulungu","881631203","",""
"Lundu Health Centre","BT240723","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Lundu","Blantyre","Southern","Malawi","-15.421482","35.0129015","Weston Chitani","999217909","",""
"Madziabango Health Centre","BT2911","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Somba","Blantyre","Southern","Malawi","-15.9677969","34.9082961","Dyton Maloza","996620702","",""
"Makata Community Hospital","BT24078","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Makata","Blantyre","Southern","Malawi","-15.6274514","35.0778707","Chifundo Mainjeni","994048482","",""
"Makhetha Dispensary","BT240790","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Kapeni","Blantyre","Southern","Malawi","-15.7835363","35.0695595","Abel Mgomezulu","882819953","997577721",""
"Malabada Mission Hospital","BT240799","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Kapeni","Blantyre","Southern","Malawi","-15.7678667","35.044745","Wamaka Kyumba","884220055","993410762",""
"Manase Dispensary","BT242135","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Somba","Blantyre","Southern","Malawi","-15.812249","34.9964014","Pililani Banda","888629750","",""
"Mbayani Dispensary","BT2963","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Machinjiri","Blantyre","Southern","Malawi","-15.765466","35.0045733","Colleta Makwete","883729256","",""
"Mdeka Health Centre","BT240900","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Chigaru","Blantyre","Southern","Malawi","-15.4681159","34.9427356","Mdeka","991123412","",""
"Mitsidi Health Centre","BT240722","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Kuntaja","Blantyre","Southern","Malawi","-15.7773128","34.9687355","Eluby Khalani","884050038","",""
"Mlambe Mission Hospital","BT2915","Level 3 (CEmONC Facilities)","CEmONC","Yes","TA Kapeni","Blantyre","Southern","Malawi","-15.6435163","35.0174856","Sr Manja","997935734","997295417",""
"Mpemba Community Hospital","BT2916","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Somba","Blantyre","Southern","Malawi","-15.8750266","34.9564199","Owah Kapito","996665536","880969699",""
"Mpingo Health Centre","BT2996","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Somba","Blantyre","Southern","Malawi","-15.8818533","34.9134267","Emmanuel Chitsamba","888519040","",""
"Namikoko Health Centre","BT2917","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Lundu","Blantyre","Southern","Malawi","-15.4867797","35.0736572","Giftlupia","998827047","881337475",""
"Nancholi Community Hospital","BT241884","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Somba","Blantyre","Southern","Malawi","-15.8273129","34.9693307","Alice Kankhuni","881325261","",""
"Ndirande Community Hospital","BT241158","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kapeni","Blantyre","Southern","Malawi","-15.7781925","35.0395648","Gloria Mdachi","995736823","884817993",""
"Ntonda Dispensary","BT241520","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Somba","Blantyre","Southern","Malawi","-15.84602","34.9899467","Charity Kutsanda","996651081","",""
"Pensulo Health Centre","BT241260","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kuntaja","Blantyre","Southern","Malawi","-15.8077481","34.9570384","Chikhulupiriro Namaleu","884453399","",""
